Index Entry,Function Name,Address
0,_ZN2ke12unwind_frameERKNS_14instructions_tERNS_12cortex_m_cpuE,0xc0
1,_ZNK10__cxxabiv121__vmi_class_type_info12__do_dyncastEiNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE,0x5cc
2,_ZZN2ke12unwind_frameERKNS_14instructions_tERNS_12cortex_m_cpuEE10jump_table,0x9f4
3,_ZN3hal5lpc4016configure_clocksERKNS0_10clock_treeE,0xdf4
4,__gnu_unwind_execute,0x119c
5,_Unwind_VRS_Pop,0x1470
6,__gnu_unwind_pr_common,0x1718
7,_ZN2ke15raise_exceptionERNS_16exception_objectE,0x19b0
8,_ZNK10__cxxabiv121__vmi_class_type_info11__do_upcastEPKNS_17__class_type_infoEPKvRNS1_15__upcast_resultE,0x1b48
9,_ZN3hal5lpc4012_GLOBAL__N_19setup_pllERKNS0_10clock_treeERKNS1_13pll_registersEh,0x1c88
10,_Z11applicationR13resource_list,0x1da4
11,unwind_phase2_forced,0x1e90
12,_ZN2ke22near_point_guess_indexEm,0x1f64
13,__malloc_malloc,0x1ffc
14,aligned_alloc,0x2094
15,malloc,0x212c
16,memalign,0x21c4
17,get_eit_entry,0x225c
18,_ZN2ke26get_index_entry_near_pointEm,0x22f0
19,_ZNK10__cxxabiv121__vmi_class_type_info20__do_find_public_srcEiPKvPKNS_17__class_type_infoES2_,0x2378
20,_ZNK10__cxxabiv120__si_class_type_info12__do_dyncastEiNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE,0x2400
21,__gnu_Unwind_Backtrace,0x2484
22,__malloc_free,0x2508
23,cfree,0x257c
24,free,0x25f0
25,__wrap___cxa_throw,0x2664
26,_Z14funct_group6_9v,0x26d4
27,_ZN3hal5lpc4012_GLOBAL__N_126enable_external_oscillatorEf,0x2740
28,__wrap___cxa_rethrow,0x27a8
29,__gnu_Unwind_RaiseException,0x2810
30,_Z14funct_group0_5v,0x2878
31,_Z14funct_group5_5v,0x28dc
32,_Z15funct_group1_11v,0x2940
