Linker script written to: demos/sorted_list_lpc4078.ld
CSV file written to: demos/functions-lpc4078.csv

Function Size Summary:
------------------------------------------------------------------------------------------
Index       Size     New Addr Function Name                                     
------------------------------------------------------------------------------------------
    0     1.3 KB         0xc0 _ZN2ke12unwind_frameERKNS_14instructions_tERNS_12cortex_m_cpuE
    1     1.0 KB        0x5cc _ZNK10__cxxabiv121__vmi_class_type_info12__do_dyncastEiNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE
    2     1.0 KB        0x9f4 _ZZN2ke12unwind_frameERKNS_14instructions_tERNS_12cortex_m_cpuEE10jump_table
    3      936 B        0xdf4 _ZN3hal5lpc4016configure_clocksERKNS0_10clock_treeE
    4      722 B       0x119c __gnu_unwind_execute                              
    5      680 B       0x1470 _Unwind_VRS_Pop                                   
    6      664 B       0x1718 __gnu_unwind_pr_common                            
    7      408 B       0x19b0 _ZN2ke15raise_exceptionERNS_16exception_objectE   
    8      320 B       0x1b48 _ZNK10__cxxabiv121__vmi_class_type_info11__do_upcastEPKNS_17__class_type_infoEPKvRNS1_15__upcast_resultE
    9      284 B       0x1c88 _ZN3hal5lpc4012_GLOBAL__N_19setup_pllERKNS0_10clock_treeERKNS1_13pll_registersEh
   10      236 B       0x1da4 _Z11applicationR13resource_list                   
   11      212 B       0x1e90 unwind_phase2_forced                              
   12      152 B       0x1f64 _ZN2ke22near_point_guess_indexEm                  
   13      152 B       0x1ffc __malloc_malloc                                   
   14      152 B       0x2094 aligned_alloc                                     
   15      152 B       0x212c malloc                                            
   16      152 B       0x21c4 memalign                                          
   17      148 B       0x225c get_eit_entry                                     
   18      136 B       0x22f0 _ZN2ke26get_index_entry_near_pointEm              
   19      136 B       0x2378 _ZNK10__cxxabiv121__vmi_class_type_info20__do_find_public_srcEiPKvPKNS_17__class_type_infoES2_
   20      132 B       0x2400 _ZNK10__cxxabiv120__si_class_type_info12__do_dyncastEiNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE
   21      132 B       0x2484 __gnu_Unwind_Backtrace                            
